tag,start,end,cumdiff
SCPRN047FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,5.3710995E7
SCTLN072FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1611190.0
SCPRN045FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1185714.0
SCSEC023FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,357584.5
SCSFS022FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,15940.599999999999
SCSEC023SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,48203.0
SCMHF014FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,3.6377844E7
SCHMN015SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2454562.0
SCJIA070FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.0
SCSRT051FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,0.0
SCSBN054FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9487994.0
SCRAM008FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.03996682E8
SCBNP078FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.66786365E8
SCNRN052FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.64852751E8
SCSBN054FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.72213577E8
SCJWN055FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9.57065717E7
SCPRN045SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9421758.0
SCJAW005FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.8021296E8
SCBAL004FLW003.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.799260153E8
SCMTP010SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7170229.0
SCNRN052FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.9555378E7
SCMTP010FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.6655876E7
SCCVN031FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,3475236.0
SCHMN015FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2543414.5999999996
SCVKI040FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1226539.5000000002
SCGPB018FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,6787982.0
